epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62278,1.4242,2.62195,1.80492,0.00333,1,0.26536,0.08509,1.36787,3.17961,1.87008,0.0001,0.0001,0.0001
2,16.5715,1.33211,2.40013,1.65357,0.0025,0.75,0.17131,0.07797,1.92514,3.10176,2.2642,0.000217822,0.000217822,0.000217822
3,24.1916,1.16965,2.14113,1.53599,0.00333,1,0.31016,0.14899,1.58439,3.23151,2.07512,0.000333268,0.000333268,0.000333268
4,31.7155,1.18431,1.77719,1.50871,0.0025,0.75,0.645,0.28723,1.62887,3.15483,2.19913,0.000446338,0.000446338,0.000446338
5,38.891,1.19957,1.67373,1.5581,0.00333,1,0.74876,0.36378,1.6841,2.88612,2.15091,0.000557032,0.000557032,0.000557032
6,45.6094,1.06406,1.46439,1.41455,0.0025,0.75,0.745,0.34831,2.07314,3.10099,2.15068,0.00066535,0.00066535,0.00066535
7,52.3706,1.10454,1.5442,1.43199,1,0.55677,0.76583,0.2315,1.87214,2.67536,2.3309,0.000771292,0.000771292,0.000771292
8,60.2914,1.10946,1.4992,1.48819,0.62352,0.5,0.57465,0.24582,1.99321,2.75008,2.37804,0.000874858,0.000874858,0.000874858
9,67.0685,0.94794,1.30514,1.32849,0.51205,0.53011,0.447,0.19922,1.87806,2.77593,2.2887,0.000976048,0.000976048,0.000976048
10,73.8106,1.25678,1.61462,1.53164,1,0.7139,0.745,0.447,1.8197,2.18261,2.16764,0.00107486,0.00107486,0.00107486
11,80.6165,1.19062,1.45957,1.48252,0.5919,0.72974,0.58848,0.24029,1.97867,2.60097,2.89786,0.0011713,0.0011713,0.0011713
12,87.1938,1.12181,1.45451,1.52451,0.57112,0.75,0.46741,0.16256,2.12728,3.4871,3.52675,0.00126536,0.00126536,0.00126536
13,93.8077,1.01844,1.28908,1.45201,0.36038,0.75,0.40226,0.12488,2.23849,3.15051,3.59886,0.00135705,0.00135705,0.00135705
14,100.537,1.29731,1.72684,1.59785,0.788,1,0.895,0.30657,1.88073,2.43067,3.27227,0.00144636,0.00144636,0.00144636
15,106.987,1.04629,1.27195,1.38247,0.788,1,0.895,0.30657,1.88073,2.43067,3.27227,0.00153329,0.00153329,0.00153329
16,113.895,1.07988,1.35798,1.43009,0.94677,0.75,0.88786,0.52684,1.39941,1.96557,2.18345,0.00161785,0.00161785,0.00161785
17,120.782,1.21157,1.41087,1.49774,0.95314,0.75,0.85611,0.49067,1.41115,1.9024,2.24952,0.0016832,0.0016832,0.0016832
18,127.345,1.06756,1.27483,1.36681,1,0.9425,0.995,0.58653,1.18953,2.36584,2.43688,0.0016634,0.0016634,0.0016634
19,133.789,1.07842,1.16762,1.34555,1,0.9425,0.995,0.58653,1.18953,2.36584,2.43688,0.0016436,0.0016436,0.0016436
20,140.287,1.07555,1.26675,1.35319,0.93242,0.5,0.70333,0.38807,1.60175,2.34313,2.6078,0.0016238,0.0016238,0.0016238
21,146.943,0.97111,1.14875,1.31865,0.96951,0.75,0.83591,0.46933,1.44108,3.00587,2.60023,0.001604,0.001604,0.001604
22,153.803,1.00552,1.21541,1.32096,1,0.97463,0.995,0.53842,1.49819,1.94986,2.86917,0.0015842,0.0015842,0.0015842
23,162.211,1.02279,1.14081,1.31185,1,0.97463,0.995,0.53842,1.49819,1.94986,2.86917,0.0015644,0.0015644,0.0015644
24,169.566,1.06743,1.1497,1.34348,0.93112,0.5,0.67,0.26215,1.83471,2.63592,2.2988,0.0015446,0.0015446,0.0015446
25,176.47,0.97386,1.05034,1.25507,0.98361,0.75,0.76038,0.38661,1.62253,2.36121,2.0831,0.0015248,0.0015248,0.0015248
26,183.143,1.00252,1.14461,1.34186,0.73668,0.25,0.38923,0.27388,2.00569,2.66511,2.43554,0.001505,0.001505,0.001505
27,189.822,1.07185,1.11422,1.33872,0.73668,0.25,0.38923,0.27388,2.00569,2.66511,2.43554,0.0014852,0.0014852,0.0014852
28,196.477,1.05257,1.15144,1.37898,0.73715,0.75,0.66,0.29077,2.30298,1.97437,2.84194,0.0014654,0.0014654,0.0014654
29,203.682,0.90054,1.0432,1.26791,0.74208,0.72625,0.73513,0.30131,2.1838,2.29839,3.42087,0.0014456,0.0014456,0.0014456
