epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8389,1.25301,2.36507,1.64204,0.00333,1,0.66753,0.29176,1.48493,3.10817,1.97272,0.00022,0.00022,0.00022
2,26.349,1.20735,1.86077,1.65167,0.00333,1,0.52822,0.30373,1.29386,2.87445,1.94288,0.000455446,0.000455446,0.000455446
3,41.7449,1.23823,1.70671,1.70928,0.00333,1,0.50945,0.22079,1.57598,2.91111,2.11861,0.00068614,0.00068614,0.00068614
4,53.8931,1.13394,1.63005,1.57807,0.61852,0.75,0.66455,0.34753,1.5253,2.32442,2.30939,0.000912082,0.000912082,0.000912082
5,65.3908,1.19697,1.56912,1.56694,0.31445,0.25,0.27872,0.14262,2.22995,3.03692,2.83534,0.00113327,0.00113327,0.00113327
6,76.7959,1.1022,1.49476,1.50573,0.36298,0.5,0.33595,0.16366,1.85852,3.58416,2.57072,0.00134971,0.00134971,0.00134971
7,88.6482,1.18855,1.43229,1.5556,0.20564,0.625,0.32635,0.11351,2.28849,4.42,3.60313,0.0015614,0.0015614,0.0015614
8,100.176,1.17424,1.39985,1.54967,0.34061,0.25,0.11389,0.05377,2.65852,3.7115,3.92933,0.00176833,0.00176833,0.00176833
9,111.675,1.29902,1.54113,1.66621,0.36872,0.25,0.1346,0.02909,2.36246,3.68545,3.29739,0.0018416,0.0018416,0.0018416
10,123.44,1.25086,1.4536,1.61395,0.4811,0.375,0.3345,0.1047,2.32631,3.07113,3.12999,0.0018218,0.0018218,0.0018218
11,134.928,1.19095,1.40398,1.58144,0.74167,0.625,0.61835,0.18215,1.95476,3.34697,2.80128,0.001802,0.001802,0.001802
12,146.456,1.13491,1.32739,1.49261,0.34487,0.375,0.3784,0.16027,1.87693,4.51125,2.48204,0.0017822,0.0017822,0.0017822
13,157.952,1.03777,1.35693,1.46148,0.26614,0.5,0.36032,0.1715,2.08376,5.29313,3.07492,0.0017624,0.0017624,0.0017624
14,169.347,1.10715,1.19788,1.43708,0.54939,0.75,0.60107,0.27887,2.1618,3.96203,3.063,0.0017426,0.0017426,0.0017426
15,181.4,1.09223,1.21258,1.51455,0.19568,0.5,0.14291,0.03664,2.43368,4.15314,3.45106,0.0017228,0.0017228,0.0017228
16,192.782,1.12129,1.25582,1.54758,0.25194,0.5,0.21822,0.06395,2.32536,4.18052,2.92834,0.001703,0.001703,0.001703
17,204.136,1.10537,1.14382,1.49806,0.33079,0.625,0.28497,0.06766,2.63395,5.42938,3.36151,0.0016832,0.0016832,0.0016832
18,215.574,1.08773,1.14758,1.49474,0.41165,0.75,0.43428,0.15385,2.47491,4.65076,2.82039,0.0016634,0.0016634,0.0016634
19,227.179,1.03294,1.08522,1.43544,0.49764,0.75,0.63841,0.32427,1.49954,2.93457,2.07486,0.0016436,0.0016436,0.0016436
20,238.836,1.08511,1.15513,1.47928,0.79969,0.75,0.90457,0.46953,1.44856,2.1398,2.13281,0.0016238,0.0016238,0.0016238
21,250.337,1.05583,1.0508,1.41903,0.28113,0.625,0.29541,0.06598,2.18573,3.70811,2.76922,0.001604,0.001604,0.001604
22,262.292,1.07834,1.08597,1.47146,0.75166,0.375,0.48116,0.14922,2.13542,2.99632,2.72279,0.0015842,0.0015842,0.0015842
23,273.826,1.02044,1.07014,1.4024,0.61988,0.25,0.3934,0.20124,2.11376,2.62582,2.9599,0.0015644,0.0015644,0.0015644
24,285.724,1.0741,1.09167,1.44059,0.58192,0.625,0.64547,0.23876,1.94387,2.0281,2.74156,0.0015446,0.0015446,0.0015446
25,297.222,1.0264,1.04144,1.4183,0.94087,1,0.995,0.54736,1.36121,1.25289,1.92506,0.0015248,0.0015248,0.0015248
26,309.437,1.01733,0.95289,1.42591,0.7948,1,0.98167,0.49936,1.42741,1.66213,1.95946,0.001505,0.001505,0.001505
27,320.831,1.00546,1.04107,1.42382,0.73573,0.75,0.90457,0.36559,1.8674,1.52788,2.19139,0.0014852,0.0014852,0.0014852
28,332.234,0.99779,0.94137,1.41119,0.77521,0.86345,0.91011,0.4304,1.72206,1.62913,2.17166,0.0014654,0.0014654,0.0014654
29,344.026,0.96199,0.95576,1.37853,0.96763,0.875,0.96227,0.3534,1.80339,1.37962,2.42474,0.0014456,0.0014456,0.0014456
30,355.36,0.9666,0.9443,1.3632,1,0.87196,0.955,0.3035,1.81519,1.58104,2.48817,0.0014258,0.0014258,0.0014258
31,366.89,0.88738,0.84881,1.296,0.85541,0.75,0.83897,0.32387,1.78201,1.98937,2.45372,0.001406,0.001406,0.001406
32,378.39,1.00618,0.95604,1.38355,0.72684,0.99802,0.85116,0.46392,1.59839,1.38797,2.25739,0.0013862,0.0013862,0.0013862
33,390.226,0.96599,0.87399,1.38197,0.80628,0.75,0.81795,0.59409,1.19293,1.26463,1.77853,0.0013664,0.0013664,0.0013664
34,402.301,0.93759,0.8778,1.37264,0.86899,0.83296,0.88083,0.60157,1.17006,1.27016,1.77755,0.0013466,0.0013466,0.0013466
