epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6496,1.39451,3.30354,1.88314,0.00596,1,0.4942,0.18765,0.97609,4.12171,1.97625,0.00021435,0.00021435,0.00021435
2,54.6128,1.10871,2.76539,1.66114,0.00834,1,0.29599,0.15747,1.13054,4.14779,2.1525,0.000438604,0.000438604,0.000438604
3,79.2546,1.05158,2.42454,1.60108,0.01129,1,0.52337,0.23348,1.39105,3.97839,2.38251,0.000658332,0.000658332,0.000658332
4,103.598,1.02869,2.41946,1.61563,0.28408,0.16667,0.3788,0.22459,1.41835,3.34304,2.82284,0.000873532,0.000873532,0.000873532
5,128.727,1.08284,2.23558,1.63035,0.74926,0.33333,0.42531,0.17769,1.57206,3.56225,2.67887,0.00108421,0.00108421,0.00108421
6,155.445,1.15521,2.17104,1.65233,0.06067,0.33333,0.08363,0.02637,2.54031,4.618,4.31717,0.00129035,0.00129035,0.00129035
7,180.635,1.19082,2.14887,1.65557,0.60695,0.58333,0.56288,0.17809,1.98391,4.25797,3.86258,0.00134412,0.00134412,0.00134412
8,205.375,1.05404,1.94051,1.5571,0.93188,0.16667,0.30623,0.11262,2.14216,4.3279,3.41583,0.00132997,0.00132997,0.00132997
9,231.264,1.12688,1.99742,1.63199,0.11817,0.58333,0.21026,0.0736,2.13877,6.16397,3.17523,0.00131582,0.00131582,0.00131582
10,255.699,1.05284,1.91056,1.56636,0.29667,0.71131,0.51828,0.26809,1.74604,4.7254,3.04353,0.00130168,0.00130168,0.00130168
11,281.072,1.02932,1.84194,1.59684,0.7114,0.48988,0.39438,0.15159,1.84385,4.09977,3.50615,0.00128753,0.00128753,0.00128753
12,308.065,0.99297,1.78383,1.53063,0.86275,0.69993,0.76375,0.27775,1.73089,3.45741,2.93957,0.00127338,0.00127338,0.00127338
13,333.844,0.99346,1.65886,1.52101,0.72415,0.58333,0.69587,0.26412,1.98922,3.08995,3.21752,0.00125923,0.00125923,0.00125923
14,358.017,0.98397,1.7339,1.51687,0.50941,0.46687,0.52173,0.17501,2.08253,2.83745,3.01012,0.00124509,0.00124509,0.00124509
15,382.172,0.96659,1.67241,1.5044,0.57727,0.5,0.57456,0.24592,1.55636,3.18469,2.80527,0.00123094,0.00123094,0.00123094
16,406.255,1.002,1.65275,1.53371,0.35827,1,0.60133,0.27403,1.70545,2.88212,3.27735,0.00121679,0.00121679,0.00121679
17,430.328,0.9613,1.55381,1.4807,0.39516,0.75,0.59645,0.25438,1.73328,2.8083,3.44263,0.00120265,0.00120265,0.00120265
18,454.472,0.98562,1.57004,1.48328,0.3987,0.58333,0.57344,0.22961,1.86062,2.84655,3.14763,0.0011885,0.0011885,0.0011885
19,478.843,0.98674,1.47526,1.52695,0.6995,0.61467,0.72912,0.30638,1.68634,2.87775,2.80258,0.00117435,0.00117435,0.00117435
20,504.995,0.90398,1.43523,1.47421,0.79016,0.58333,0.61108,0.24837,1.58352,2.84686,2.73887,0.00116021,0.00116021,0.00116021
21,529.999,0.86664,1.43845,1.41354,0.73255,0.5,0.56522,0.24854,1.47722,2.82143,2.43376,0.00114606,0.00114606,0.00114606
22,554.082,0.88316,1.38499,1.44867,0.8108,0.72075,0.80949,0.37463,1.4424,2.27116,2.55079,0.00113191,0.00113191,0.00113191
23,578.177,0.97683,1.36525,1.46977,0.95686,0.72781,0.8599,0.32245,1.56272,2.28003,2.8873,0.00111776,0.00111776,0.00111776
24,603.057,0.90344,1.35664,1.46549,0.69133,0.5,0.5267,0.1818,1.71132,3.14847,2.79398,0.00110362,0.00110362,0.00110362
25,627.639,0.91796,1.34109,1.4241,0.58445,0.48624,0.3767,0.15652,1.28836,3.42402,2.35168,0.00108947,0.00108947,0.00108947
26,651.744,0.94876,1.36883,1.46073,0.8723,0.79193,0.89306,0.28328,1.52563,2.31263,2.73528,0.00107532,0.00107532,0.00107532
27,676.135,0.84303,1.25674,1.41781,0.61807,0.58333,0.75233,0.4071,1.32721,2.17554,2.54342,0.00106118,0.00106118,0.00106118
28,700.232,0.85423,1.22007,1.36941,0.85482,0.58333,0.73091,0.3088,1.80359,2.4692,3.09021,0.00104703,0.00104703,0.00104703
29,724.125,0.78416,1.20745,1.37469,0.96748,0.65361,0.83483,0.24367,2.17083,2.3879,3.51137,0.00103288,0.00103288,0.00103288
30,748.337,0.85198,1.1477,1.37572,0.87804,0.68393,0.82071,0.41467,1.78556,1.93479,2.99755,0.00101873,0.00101873,0.00101873
31,772.467,0.83933,1.23102,1.38177,0.81617,0.68949,0.77638,0.43904,1.60904,1.8516,3.06223,0.00100459,0.00100459,0.00100459
32,796.712,0.78372,1.14944,1.34495,0.75987,0.75,0.76625,0.42321,1.42869,1.85741,2.6721,0.00099044,0.00099044,0.00099044
33,821.362,0.74624,1.10702,1.31229,0.83353,0.58333,0.72867,0.42338,1.3278,1.8998,2.4319,0.000976293,0.000976293,0.000976293
34,845.833,0.7591,1.12767,1.3298,0.91435,0.72534,0.82653,0.42029,1.52574,1.74857,2.63364,0.000962146,0.000962146,0.000962146
35,870.062,0.75831,1.0865,1.32366,0.65925,0.77295,0.78049,0.38751,1.83444,2.20623,2.8455,0.000947999,0.000947999,0.000947999
36,894.783,0.78498,1.08223,1.31593,0.8437,0.75,0.71438,0.294,1.89563,2.34607,3.07973,0.000933851,0.000933851,0.000933851
37,918.781,0.7868,1.13684,1.35489,0.69457,0.75,0.7922,0.33146,1.87795,2.02891,3.19575,0.000919704,0.000919704,0.000919704
38,943.325,0.79738,1.18108,1.37596,0.95507,0.75,0.91375,0.39057,1.68154,1.59567,3.02414,0.000905557,0.000905557,0.000905557
39,967.589,0.78237,1.06639,1.34399,0.85769,0.90477,0.93333,0.36869,1.72456,1.62451,2.80091,0.00089141,0.00089141,0.00089141
40,992.023,0.74331,1.04396,1.27301,0.68017,0.58333,0.65217,0.26597,1.96235,2.02759,3.05949,0.000877263,0.000877263,0.000877263
