epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4155,1.34766,2.40187,1.76712,0.00333,1,0.6275,0.29488,1.72067,3.17239,2.2858,0.00028,0.00028,0.00028
2,29.4939,1.17861,1.80678,1.59273,0.00685,0.9,0.27587,0.12197,2.01688,3.48222,2.55146,0.000574258,0.000574258,0.000574258
3,43.6084,1.13784,1.60567,1.56134,0.08662,0.9,0.48052,0.24063,1.52371,2.73487,2.19729,0.000862576,0.000862576,0.000862576
4,57.5989,1.35866,1.87986,1.75195,0.55746,0.7,0.53245,0.24306,1.63126,2.48756,2.81919,0.00114495,0.00114495,0.00114495
5,71.5153,1.27192,1.71072,1.6598,0.11865,0.3,0.10657,0.0289,2.49211,4.34224,3.25753,0.00142139,0.00142139,0.00142139
6,85.4814,1.1992,1.60352,1.59965,0.3569,0.61101,0.51317,0.22315,1.95168,3.21972,2.82005,0.00169189,0.00169189,0.00169189
7,100.017,1.32192,1.59162,1.69184,0.12457,0.3,0.05541,0.01603,3.64363,4.63735,4.20135,0.0018812,0.0018812,0.0018812
8,114.466,1.40345,1.57862,1.71543,0.33132,0.3,0.26699,0.09809,2.75409,5.34603,3.72247,0.0018614,0.0018614,0.0018614
9,128.561,1.30407,1.50278,1.60631,0.33339,0.6,0.39439,0.20752,1.95101,4.8319,2.87841,0.0018416,0.0018416,0.0018416
10,142.482,1.27622,1.49643,1.65095,0.49706,0.5,0.4774,0.18443,1.72209,4.23464,2.66746,0.0018218,0.0018218,0.0018218
11,156.6,1.37621,1.55245,1.72353,0.37923,0.6,0.46294,0.25916,1.98128,4.11563,3.20501,0.001802,0.001802,0.001802
12,170.637,1.16054,1.44292,1.54988,0.237,0.5,0.17471,0.05894,2.50964,3.89737,3.47898,0.0017822,0.0017822,0.0017822
13,184.856,1.25756,1.51437,1.65114,0.42436,0.4,0.34798,0.17638,2.3155,4.42742,3.2276,0.0017624,0.0017624,0.0017624
14,199.438,1.21774,1.45369,1.61268,0.44524,0.4,0.348,0.20513,2.44291,4.69209,3.17503,0.0017426,0.0017426,0.0017426
15,213.548,1.21161,1.38325,1.56036,0.35325,0.27564,0.2624,0.05311,2.71882,4.95191,3.45264,0.0017228,0.0017228,0.0017228
16,227.92,1.15908,1.27624,1.54873,0.64019,0.4,0.45027,0.14798,1.96905,2.4759,2.52555,0.001703,0.001703,0.001703
17,242.954,1.1732,1.37073,1.5479,0.69387,0.5,0.61642,0.34561,1.63485,2.03736,2.23487,0.0016832,0.0016832,0.0016832
18,258.208,1.125,1.21815,1.51049,0.90738,0.98119,0.97682,0.5384,1.30853,1.36445,2.12108,0.0016634,0.0016634,0.0016634
19,272.241,1.09838,1.14951,1.46573,0.88338,0.9,0.93045,0.46906,1.65654,1.61052,2.6041,0.0016436,0.0016436,0.0016436
20,286.537,1.02574,1.14182,1.44332,0.69121,0.89573,0.78299,0.38036,1.73991,1.83047,2.79339,0.0016238,0.0016238,0.0016238
21,301.113,1.09354,1.14198,1.50525,0.90862,0.9948,0.98591,0.47704,1.54258,1.80943,2.4803,0.001604,0.001604,0.001604
22,315.848,1.13178,1.17441,1.55768,0.90779,0.8,0.94056,0.39378,1.81452,1.6777,2.59523,0.0015842,0.0015842,0.0015842
23,329.891,1.1773,1.21891,1.49238,0.73377,0.5,0.58115,0.33758,1.98777,2.61801,2.81734,0.0015644,0.0015644,0.0015644
24,344.047,1.13149,1.18172,1.49241,0.5397,0.5,0.49997,0.24656,1.73721,2.30602,2.33193,0.0015446,0.0015446,0.0015446
25,358.444,1.08428,1.11899,1.45577,0.83236,0.7,0.73607,0.30195,1.88714,2.01695,2.69361,0.0015248,0.0015248,0.0015248
26,372.641,1.11244,1.17899,1.50503,0.71525,0.4,0.4328,0.16611,2.09458,2.65575,2.85588,0.001505,0.001505,0.001505
27,386.546,1.06308,1.02146,1.45987,0.42387,0.6,0.51237,0.17393,2.18765,2.07064,2.96078,0.0014852,0.0014852,0.0014852
28,400.429,1.0665,1.13181,1.43451,0.6909,0.89451,0.76165,0.25559,2.28604,1.56598,3.01931,0.0014654,0.0014654,0.0014654
29,414.331,0.97979,1.02357,1.41957,0.88272,0.9,0.92204,0.51498,1.49337,1.17352,2.30197,0.0014456,0.0014456,0.0014456
30,428.321,1.02203,1.05311,1.40494,0.85636,0.9,0.89204,0.54992,1.3272,1.19569,1.98409,0.0014258,0.0014258,0.0014258
31,443.16,1.05464,1.11019,1.43603,0.90742,0.98162,0.92227,0.47445,1.5745,1.39933,2.29227,0.001406,0.001406,0.001406
32,457.329,1.00251,1.08609,1.4288,0.79898,1,0.9075,0.49361,1.42463,1.24997,2.17087,0.0013862,0.0013862,0.0013862
33,471.575,0.97075,0.97743,1.41504,0.74665,0.9,0.8875,0.49791,1.47985,1.27351,2.16913,0.0013664,0.0013664,0.0013664
34,485.528,1.02368,0.98517,1.41847,1,0.76414,0.91811,0.4712,1.48241,1.33543,2.03388,0.0013466,0.0013466,0.0013466
35,499.433,1.07347,0.97381,1.4309,0.897,1,0.98591,0.58502,1.39079,0.90617,2.00107,0.0013268,0.0013268,0.0013268
36,513.577,0.9388,0.86291,1.35862,0.97262,1,0.995,0.63156,1.33724,0.84843,1.9741,0.001307,0.001307,0.001307
37,527.509,0.97424,0.92167,1.39875,0.71951,0.8,0.69861,0.44833,1.27218,1.23515,1.8035,0.0012872,0.0012872,0.0012872
38,541.531,0.95191,0.86225,1.30155,0.7215,0.8,0.68849,0.4216,1.353,1.26938,1.901,0.0012674,0.0012674,0.0012674
39,555.654,0.93011,0.96264,1.32929,0.90219,1,0.91318,0.44661,1.48887,1.116,2.13088,0.0012476,0.0012476,0.0012476
40,569.669,0.88458,0.85197,1.33977,0.89542,1,0.95864,0.50692,1.5433,1.15736,2.28559,0.0012278,0.0012278,0.0012278
41,583.574,0.96066,0.91535,1.30033,0.90442,0.94858,0.96773,0.44848,1.48977,1.18692,2.1892,0.001208,0.001208,0.001208
42,597.417,0.93732,0.90224,1.3249,0.70298,1,0.92143,0.44872,1.62056,1.2143,2.21557,0.0011882,0.0011882,0.0011882
43,611.575,0.93912,0.87003,1.35538,0.86688,0.8,0.92882,0.53018,1.37395,1.06829,2.0332,0.0011684,0.0011684,0.0011684
44,625.5,0.89174,0.80935,1.30979,0.95038,0.8,0.9309,0.52409,1.36737,1.05085,2.26234,0.0011486,0.0011486,0.0011486
45,639.53,0.87735,0.83817,1.33018,0.97077,0.8,0.96192,0.51964,1.38833,0.97443,2.33732,0.0011288,0.0011288,0.0011288
46,653.987,0.83703,0.78594,1.24496,0.9999,0.9,0.97833,0.55352,1.38802,0.90229,2.26825,0.001109,0.001109,0.001109
47,668.078,0.77054,0.73049,1.21618,0.98914,1,0.995,0.57356,1.33382,0.77742,2.10143,0.0010892,0.0010892,0.0010892
48,682.12,0.80658,0.7639,1.27251,0.99395,1,0.995,0.55859,1.27451,0.77402,1.98188,0.0010694,0.0010694,0.0010694
49,695.969,0.77102,0.79999,1.25761,0.89073,0.9,0.845,0.55315,1.34531,0.83603,2.10599,0.0010496,0.0010496,0.0010496
50,710.085,0.83367,0.7335,1.26186,1,0.96721,0.995,0.59097,1.3677,0.74952,2.06787,0.0010298,0.0010298,0.0010298
51,724.11,0.85111,0.81383,1.24424,0.97086,1,0.995,0.57766,1.28233,0.74874,2.0225,0.00101,0.00101,0.00101
52,738.245,0.80699,0.7776,1.25721,0.99295,1,0.995,0.56656,1.23842,0.69488,1.9598,0.0009902,0.0009902,0.0009902
53,752.275,0.75376,0.68911,1.21444,0.89429,0.9,0.82782,0.5185,1.2557,0.86682,1.95586,0.0009704,0.0009704,0.0009704
54,766.27,0.85115,0.75967,1.26248,0.89351,0.9,0.845,0.56253,1.32021,0.83056,2.02138,0.0009506,0.0009506,0.0009506
55,780.454,0.85245,0.76163,1.26786,0.8921,0.9,0.85782,0.54998,1.24931,0.80899,1.85744,0.0009308,0.0009308,0.0009308
56,794.488,0.81674,0.75382,1.28068,0.89899,0.89092,0.85357,0.555,1.2146,0.93639,1.80306,0.000911,0.000911,0.000911
57,808.365,0.82423,0.73204,1.25342,0.83218,1,0.945,0.47325,1.43856,1.22072,2.08651,0.0008912,0.0008912,0.0008912
58,822.426,0.71022,0.65655,1.1964,0.80264,0.9,0.90231,0.45701,1.36626,1.11871,2.00348,0.0008714,0.0008714,0.0008714
59,836.396,0.72138,0.63941,1.1847,0.88661,0.9,0.85848,0.47436,1.3845,1.21246,2.04369,0.0008516,0.0008516,0.0008516
60,850.564,0.75448,0.66693,1.1932,0.89161,0.9,0.87045,0.52686,1.32008,1.22152,2.08767,0.0008318,0.0008318,0.0008318
61,864.434,0.703,0.62472,1.17972,0.89584,1,0.94045,0.52259,1.38919,1.31385,2.02641,0.000812,0.000812,0.000812
62,878.44,0.71291,0.6377,1.17347,0.887,1,0.94955,0.50778,1.4016,1.26009,2.00984,0.0007922,0.0007922,0.0007922
63,892.265,0.71338,0.62562,1.20716,0.8232,1,0.96833,0.58492,1.28291,0.97294,1.94119,0.0007724,0.0007724,0.0007724
64,906.111,0.73241,0.62257,1.18355,0.84518,1,0.97682,0.59295,1.32319,0.72687,1.97675,0.0007526,0.0007526,0.0007526
65,920.085,0.72579,0.70338,1.2124,0.96247,1,0.995,0.60727,1.37009,0.77372,1.98852,0.0007328,0.0007328,0.0007328
66,934.122,0.62149,0.60513,1.13824,0.99398,1,0.995,0.6511,1.28109,0.71073,1.86349,0.000713,0.000713,0.000713
67,948.058,0.67671,0.63745,1.16778,0.99313,1,0.995,0.66525,1.17989,0.64797,1.76343,0.0006932,0.0006932,0.0006932
68,962.216,0.72439,0.62648,1.20324,0.99698,1,0.995,0.60679,1.22536,0.80913,1.81211,0.0006734,0.0006734,0.0006734
69,976.077,0.67175,0.65427,1.17566,0.97243,0.8,0.95374,0.55262,1.28156,0.94425,1.95015,0.0006536,0.0006536,0.0006536
70,989.99,0.70541,0.62438,1.16158,0.82431,0.8,0.89312,0.49524,1.24144,1.14162,1.90009,0.0006338,0.0006338,0.0006338
71,1003.99,0.66846,0.57993,1.16201,0.77882,0.8,0.85824,0.4887,1.2399,1.39036,1.88295,0.000614,0.000614,0.000614
72,1018.02,0.71854,0.67158,1.208,0.76887,0.7,0.84178,0.47839,1.25412,1.47196,1.88592,0.0005942,0.0005942,0.0005942
73,1032.11,0.66324,0.63573,1.1539,1,0.78691,0.93932,0.56285,1.19361,0.93601,1.83485,0.0005744,0.0005744,0.0005744
74,1045.98,0.69698,0.61121,1.17745,0.99142,1,0.995,0.62979,1.10622,0.71998,1.75518,0.0005546,0.0005546,0.0005546
75,1059.91,0.6512,0.56918,1.15409,0.99108,1,0.995,0.61895,1.0443,0.62342,1.68123,0.0005348,0.0005348,0.0005348
76,1074.05,0.66072,0.58009,1.16819,0.98763,1,0.995,0.65513,1.05921,0.61204,1.68904,0.000515,0.000515,0.000515
77,1088.15,0.62905,0.53415,1.1291,0.98624,1,0.995,0.6582,1.10555,0.67186,1.68899,0.0004952,0.0004952,0.0004952
