epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1854,1.55287,2.64076,1.77953,0.00267,1,0.1462,0.05761,1.40277,3.38087,1.78058,0.00014,0.00014,0.00014
2,23.5126,1.31344,2.38062,1.63688,0.00267,1,0.16661,0.08725,1.67562,3.50916,2.12463,0.00029703,0.00029703,0.00029703
3,33.8674,1.1117,1.91335,1.5019,0.00267,1,0.45207,0.19498,1.6664,3.26685,2.32051,0.000450892,0.000450892,0.000450892
4,44.0509,1.11947,1.77485,1.4873,0.15093,0.5,0.58188,0.14891,1.8829,3.32486,2.49573,0.000601586,0.000601586,0.000601586
5,55.5288,1.1432,1.75464,1.51942,0.742,0.5,0.62833,0.11094,2.07357,3.5968,2.57763,0.000749112,0.000749112,0.000749112
6,68.6276,1.17412,1.69031,1.47761,0.58547,0.5,0.46167,0.27017,2.44471,3.21223,2.99791,0.00089347,0.00089347,0.00089347
7,81.8149,1.19712,1.69221,1.56956,1,0.47505,0.57833,0.232,2.55348,2.79104,4.14961,0.00103466,0.00103466,0.00103466
8,92.83,1.19357,1.64922,1.47104,0.88703,0.5,0.62641,0.33431,2.20758,2.66321,4.17196,0.00117268,0.00117268,0.00117268
9,102.942,1.28048,1.8021,1.56565,0.96923,0.75,0.7575,0.27823,1.8871,2.8636,3.77574,0.00130754,0.00130754,0.00130754
10,114.071,1.15373,1.57856,1.5039,0.96158,0.75,0.76583,0.26785,2.02512,5.53314,4.33334,0.00143922,0.00143922,0.00143922
11,125.095,1.10618,1.50942,1.43135,0.79778,0.75,0.76087,0.45108,1.64369,4.51327,3.11858,0.00156774,0.00156774,0.00156774
12,135.747,1.16374,1.53982,1.59187,1,0.71956,0.77203,0.29536,2.27954,3.74687,4.63279,0.00169309,0.00169309,0.00169309
13,146.047,1.18091,1.58661,1.47959,0.9403,0.75,0.82833,0.30224,2.05365,2.30466,4.24962,0.0017624,0.0017624,0.0017624
14,157.788,1.12738,1.47444,1.49713,0.74562,0.73687,0.69143,0.21694,2.24742,2.99395,3.42971,0.0017426,0.0017426,0.0017426
15,167.788,1.1242,1.40248,1.44825,0.70975,0.75,0.75393,0.38454,1.70441,3.4507,2.56278,0.0017228,0.0017228,0.0017228
16,177.892,1.1505,1.38611,1.48189,0.88679,0.75,0.91167,0.50491,1.50913,5.0212,2.1527,0.001703,0.001703,0.001703
17,188.951,1.00314,1.22319,1.35778,0.82341,0.75,0.845,0.462,1.4352,5.61324,1.98397,0.0016832,0.0016832,0.0016832
18,199.174,1.13791,1.35944,1.43283,0.77526,0.75,0.81167,0.50863,1.41389,4.66701,2.24047,0.0016634,0.0016634,0.0016634
19,209.177,1.04655,1.27261,1.39744,0.74479,0.75,0.77,0.46364,1.23272,3.20377,1.75857,0.0016436,0.0016436,0.0016436
20,220.504,1.12568,1.24812,1.42185,0.89884,0.75,0.85611,0.52664,1.46236,3.34661,1.90375,0.0016238,0.0016238,0.0016238
21,230.742,1.01757,1.2075,1.37042,0.76304,0.5,0.64976,0.24292,1.69385,3.67431,2.17205,0.001604,0.001604,0.001604
22,242.808,0.97703,1.30916,1.35956,0.73005,0.75,0.76087,0.33558,1.53474,2.79111,2.19539,0.0015842,0.0015842,0.0015842
23,254.906,1.06866,1.24386,1.44061,0.93478,0.75,0.76541,0.35331,2.0622,3.02096,4.0183,0.0015644,0.0015644,0.0015644
24,266.72,1.00443,1.28342,1.38289,0.8709,1,0.995,0.3034,1.90217,2.65432,3.09382,0.0015446,0.0015446,0.0015446
25,280.273,0.99657,1.21099,1.35723,0.96294,0.75,0.76318,0.38064,1.78971,2.85099,2.84074,0.0015248,0.0015248,0.0015248
26,298.634,1.01468,1.19604,1.3662,0.75698,0.75,0.79045,0.50109,1.64133,3.24332,2.59029,0.001505,0.001505,0.001505
27,316.126,1.00684,1.20223,1.36216,0.94236,0.75,0.78667,0.42218,1.80918,2.74736,2.64215,0.0014852,0.0014852,0.0014852
28,328.343,1.01926,1.15277,1.36514,0.90857,0.75,0.77203,0.41672,1.91881,2.00256,2.722,0.0014654,0.0014654,0.0014654
29,340.794,1.02716,1.14783,1.34458,0.97998,0.75,0.8075,0.41266,2.04961,1.77597,2.50656,0.0014456,0.0014456,0.0014456
