epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4783,1.50305,3.33569,1.94743,0.00326,1,0.1494,0.07772,0.98305,3.16043,1.71389,7.145e-05,7.145e-05,7.145e-05
2,4.31765,1.21286,3.20523,1.7326,0.00335,1,0.26103,0.1734,1.11352,3.18249,1.78917,0.000155634,0.000155634,0.000155634
3,6.77289,1.09077,2.85653,1.64603,0.0038,1,0.20854,0.13308,1.41039,3.16108,2.1538,0.00023812,0.00023812,0.00023812
4,9.49054,1.11828,2.54379,1.62617,0.00376,1,0.41002,0.21802,1.75446,3.134,2.57489,0.000318909,0.000318909,0.000318909
5,11.5824,1.03436,2.36114,1.58149,0.00279,0.80556,0.1634,0.05964,2.44175,3.48581,2.90588,0.000397999,0.000397999,0.000397999
6,13.289,1.06596,2.17524,1.59549,0.00209,0.69444,0.17383,0.11344,2.86273,3.68667,3.24768,0.000475393,0.000475393,0.000475393
7,14.9867,1.07802,2.1838,1.5968,0.00195,0.69444,0.22658,0.112,2.73132,3.29637,3.37681,0.000551088,0.000551088,0.000551088
8,16.6721,1.0159,2.01509,1.53734,0.75512,0.11111,0.12466,0.05723,2.54692,2.80653,3.82586,0.000625086,0.000625086,0.000625086
9,18.292,0.92948,1.95946,1.46501,0.42065,0.22222,0.20077,0.07476,2.60767,2.81252,3.8207,0.000697386,0.000697386,0.000697386
10,20.2851,1.00539,1.86329,1.50077,0.00111,0.55556,0.01892,0.00423,3.02276,3.53143,3.66592,0.000767989,0.000767989,0.000767989
11,22.9317,0.98184,1.68896,1.47935,0.00178,0.61111,0.02662,0.00307,3.58303,3.64809,4.11984,0.000836894,0.000836894,0.000836894
12,25.4579,1.01035,1.68141,1.51131,0.44205,0.70649,0.52989,0.3431,1.67301,2.82213,2.42961,0.000904101,0.000904101,0.000904101
13,27.1532,0.96242,1.5453,1.45666,0.71871,0.67823,0.58749,0.27539,1.84118,2.59065,3.03521,0.000969611,0.000969611,0.000969611
14,28.8695,1.01074,1.6556,1.51112,0.54221,0.52778,0.60827,0.24202,2.13388,2.56709,3.63757,0.00103342,0.00103342,0.00103342
15,30.7314,0.9873,1.51855,1.51018,0.17299,0.72222,0.27732,0.1079,2.18984,3.03169,3.6771,0.00109554,0.00109554,0.00109554
16,32.3646,0.93235,1.51542,1.4492,0.39497,0.24599,0.4405,0.16201,1.94716,3.24756,3.06601,0.00115595,0.00115595,0.00115595
17,34.4561,0.99421,1.44122,1.49295,0.42051,0.25,0.43549,0.15967,2.14539,2.94194,3.0459,0.00120265,0.00120265,0.00120265
18,36.8884,0.96212,1.47715,1.46216,0.731,0.16667,0.07339,0.03864,2.23482,4.27096,2.91848,0.0011885,0.0011885,0.0011885
19,39.4474,0.92582,1.39899,1.43036,0.38506,0.25,0.06104,0.01691,2.30822,3.99568,3.18202,0.00117435,0.00117435,0.00117435
20,41.3969,0.83203,1.32221,1.39047,0.06353,0.19444,0.0613,0.01911,2.74849,3.69328,3.52898,0.00116021,0.00116021,0.00116021
21,43.0998,0.88484,1.26255,1.35715,0.311,0.08333,0.12719,0.05227,2.92987,3.13297,3.82753,0.00114606,0.00114606,0.00114606
22,44.8279,0.97916,1.4452,1.45326,0.0835,0.44444,0.1675,0.03911,3.27194,3.47621,4.29559,0.00113191,0.00113191,0.00113191
23,46.4243,0.92762,1.38366,1.4029,0.00188,0.61111,0.17943,0.08627,3.13913,3.59466,3.64471,0.00111776,0.00111776,0.00111776
24,48.1731,0.89261,1.24047,1.36569,0.50157,0.40981,0.22801,0.09023,2.58558,3.15701,3.36262,0.00110362,0.00110362,0.00110362
25,49.9243,0.85799,1.19494,1.35482,0.744,0.16667,0.1123,0.04207,2.96792,3.06536,3.70221,0.00108947,0.00108947,0.00108947
26,52.4261,0.8553,1.21845,1.37356,0.73744,0.36111,0.35703,0.12234,2.29111,2.73807,3.6653,0.00107532,0.00107532,0.00107532
27,55.0068,0.81683,1.19377,1.33706,0.84914,0.44949,0.59117,0.22346,2.48026,2.3121,3.85588,0.00106118,0.00106118,0.00106118
28,56.764,0.87565,1.228,1.40276,0.68596,0.52778,0.60796,0.35632,2.43298,2.11811,4.15926,0.00104703,0.00104703,0.00104703
29,58.5778,0.83159,1.21808,1.33679,0.86973,0.52778,0.57902,0.3604,2.30862,2.18327,3.44883,0.00103288,0.00103288,0.00103288
30,60.2796,0.78649,1.1749,1.31504,0.4907,0.48213,0.52852,0.22313,2.61997,3.23105,3.684,0.00101873,0.00101873,0.00101873
31,62.0213,0.80821,1.16407,1.30878,0.19727,0.33333,0.36948,0.10672,2.94693,3.61216,4.0053,0.00100459,0.00100459,0.00100459
32,63.7295,0.82045,1.12295,1.3255,0.17735,0.44444,0.2174,0.10979,2.44834,3.6443,3.59037,0.00099044,0.00099044,0.00099044
33,65.5389,0.82406,1.11623,1.35174,0.59576,0.30556,0.47948,0.1947,2.1025,2.75099,3.36543,0.000976293,0.000976293,0.000976293
34,68.5949,0.77956,1.12425,1.31635,0.86477,0.30556,0.37026,0.20292,1.83219,2.56918,3.21108,0.000962146,0.000962146,0.000962146
35,70.986,0.77231,1.01827,1.31321,0.90636,0.30556,0.4823,0.29533,1.90492,2.11594,3.17904,0.000947999,0.000947999,0.000947999
36,72.8861,0.78063,0.98497,1.28392,0.6502,0.63889,0.69972,0.31888,1.86926,2.06805,3.24126,0.000933851,0.000933851,0.000933851
37,74.5213,0.76552,1.06438,1.30512,0.49078,0.63889,0.67987,0.384,1.9143,1.92224,3.29682,0.000919704,0.000919704,0.000919704
38,76.2978,0.80305,1.00411,1.31849,0.68823,0.72222,0.78953,0.39671,2.20563,1.81753,3.43405,0.000905557,0.000905557,0.000905557
39,78.0692,0.72575,0.96404,1.25419,0.79083,0.67584,0.67904,0.3423,2.23115,2.0724,3.46062,0.00089141,0.00089141,0.00089141
40,79.8104,0.72135,0.93949,1.22966,0.24751,0.68749,0.47472,0.23185,2.42056,2.30937,3.49216,0.000877263,0.000877263,0.000877263
41,82.2117,0.73285,0.92371,1.26475,0.63403,0.30556,0.48909,0.23313,2.24296,2.05982,3.33334,0.000863116,0.000863116,0.000863116
42,84.8066,0.7164,0.89584,1.24685,0.39094,0.66394,0.48361,0.21746,2.39646,2.2059,3.31011,0.000848969,0.000848969,0.000848969
43,86.8227,0.71925,0.91238,1.28766,0.41009,0.72222,0.38856,0.22237,2.45513,2.31731,3.2684,0.000834822,0.000834822,0.000834822
44,88.8965,0.74386,0.99379,1.25299,0.52705,0.71086,0.49975,0.18061,2.91176,2.40502,3.51364,0.000820675,0.000820675,0.000820675
45,90.6139,0.64538,0.86635,1.19806,0.55074,0.72222,0.53187,0.22721,2.83587,2.14758,3.48301,0.000806528,0.000806528,0.000806528
46,92.376,0.67346,0.90995,1.24413,0.51434,0.71183,0.67214,0.3185,2.61227,2.2222,3.30961,0.00079238,0.00079238,0.00079238
47,94.1393,0.67569,0.85871,1.22751,0.39257,0.70574,0.59515,0.28572,2.38366,2.14919,3.16863,0.000778233,0.000778233,0.000778233
48,96.1932,0.67089,0.87461,1.21739,0.78121,0.68546,0.55684,0.27402,1.73781,2.19307,2.48291,0.000764086,0.000764086,0.000764086
49,98.6625,0.64157,0.79856,1.17667,0.73242,0.68271,0.55624,0.32131,1.83297,2.35848,2.53755,0.000749939,0.000749939,0.000749939
50,101.024,0.65147,0.84035,1.2012,0.79617,0.56578,0.6848,0.5194,1.82526,2.10122,2.35438,0.000735792,0.000735792,0.000735792
51,102.69,0.6757,0.78641,1.18193,0.77298,0.52778,0.60018,0.41902,1.76838,2.07046,2.34747,0.000721645,0.000721645,0.000721645
52,104.484,0.61325,0.79753,1.17581,0.63285,0.52778,0.57789,0.42596,1.81918,2.17549,2.42938,0.000707498,0.000707498,0.000707498
53,106.275,0.61964,0.78744,1.14842,0.54333,0.54556,0.53215,0.36791,1.96374,2.33994,2.54562,0.000693351,0.000693351,0.000693351
54,107.992,0.6474,0.88715,1.23296,0.46889,0.50726,0.35072,0.26006,2.14015,2.37107,2.75701,0.000679204,0.000679204,0.000679204
55,109.652,0.66755,0.78983,1.19298,0.49769,0.58652,0.36192,0.23297,2.10303,2.44003,2.6817,0.000665057,0.000665057,0.000665057
56,111.966,0.67284,0.80514,1.22353,0.43692,0.52778,0.34779,0.15433,2.44727,2.59946,2.85416,0.000650909,0.000650909,0.000650909
57,115.221,0.62321,0.7283,1.18485,0.45872,0.52778,0.34865,0.16676,2.53628,2.68241,2.93725,0.000636762,0.000636762,0.000636762
58,117.182,0.66118,0.78826,1.2126,0.33919,0.63889,0.34091,0.1577,2.46901,2.66694,2.81382,0.000622615,0.000622615,0.000622615
59,118.816,0.59858,0.72202,1.18432,0.23467,0.52778,0.28984,0.14302,2.34601,2.74626,2.77672,0.000608468,0.000608468,0.000608468
60,120.569,0.72691,0.85045,1.26805,0.68411,0.52271,0.48103,0.21894,2.23742,2.69933,2.86624,0.000594321,0.000594321,0.000594321
61,122.146,0.602,0.70877,1.17042,0.54386,0.52778,0.46003,0.21053,2.14498,2.81891,2.82076,0.000580174,0.000580174,0.000580174
62,123.819,0.56495,0.70369,1.13665,0.72221,0.63889,0.62835,0.25612,1.92343,2.31306,2.82538,0.000566027,0.000566027,0.000566027
63,125.466,0.62923,0.74814,1.19254,0.60178,0.72463,0.62048,0.22562,1.98821,2.30855,2.99265,0.00055188,0.00055188,0.00055188
64,128.112,0.5696,0.71235,1.15101,0.43288,0.41667,0.24898,0.15346,2.20814,2.35309,3.54199,0.000537733,0.000537733,0.000537733
65,130.655,0.59463,0.70798,1.17678,0.45211,0.41667,0.28251,0.15666,2.23742,2.3196,3.47773,0.000523586,0.000523586,0.000523586
66,132.329,0.56698,0.70674,1.1487,0.78087,0.75,0.61233,0.25716,1.84869,2.04415,2.70967,0.000509438,0.000509438,0.000509438
67,134.067,0.55721,0.64753,1.14574,0.7236,0.75,0.61267,0.35916,1.72568,1.99049,2.67819,0.000495291,0.000495291,0.000495291
68,135.767,0.52109,0.64645,1.11153,0.63295,0.61378,0.58005,0.45178,1.67233,1.91863,2.60855,0.000481144,0.000481144,0.000481144
69,137.452,0.5645,0.68396,1.13804,0.56534,0.60516,0.59583,0.44764,1.78534,2.13703,2.6479,0.000466997,0.000466997,0.000466997
70,139.121,0.56237,0.64389,1.13409,0.55499,0.631,0.56731,0.25797,1.79392,2.26213,2.592,0.00045285,0.00045285,0.00045285
71,141.022,0.49441,0.62821,1.07653,0.74196,0.63279,0.59617,0.2587,1.69236,2.23906,2.55808,0.000438703,0.000438703,0.000438703
72,143.529,0.52742,0.65937,1.10293,0.75818,0.61635,0.62917,0.41106,1.66633,2.18259,2.64996,0.000424556,0.000424556,0.000424556
73,145.907,0.52312,0.60878,1.07728,0.69289,0.5925,0.64323,0.36987,1.702,2.15082,2.75091,0.000410409,0.000410409,0.000410409
74,147.549,0.50485,0.67247,1.11311,0.65957,0.70121,0.6033,0.34729,1.9244,2.39734,3.01228,0.000396262,0.000396262,0.000396262
75,149.282,0.50756,0.58165,1.10722,0.70896,0.68345,0.61553,0.35195,1.80455,2.2466,2.90668,0.000382115,0.000382115,0.000382115
