epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8186,1.24282,2.99972,1.60868,0.00307,1,0.18459,0.09538,1.54579,3.77987,1.9315,0.00011669,0.00011669,0.00011669
2,32.4784,1.04241,2.686,1.48885,0.00299,1,0.13837,0.05867,1.8002,3.67827,2.44252,0.000247575,0.000247575,0.000247575
3,47.2058,0.99157,2.33256,1.47928,0.00301,1,0.33141,0.15842,1.72407,3.61403,2.349,0.000375818,0.000375818,0.000375818
4,62.328,0.98588,2.06178,1.42343,0.00304,1,0.24886,0.15934,1.5843,3.59209,2.12551,0.000501422,0.000501422,0.000501422
5,76.9556,1.03734,1.84906,1.40186,0.20969,0.41107,0.39673,0.15451,1.86473,3.22928,2.60452,0.000624385,0.000624385,0.000624385
6,91.8619,1.07162,1.83918,1.47417,0.0366,0.875,0.20874,0.10801,1.47309,3.3687,2.02921,0.000744707,0.000744707,0.000744707
7,107.233,1.0149,1.65548,1.39542,0.27595,0.375,0.25221,0.11629,1.76141,3.35456,2.32528,0.000862389,0.000862389,0.000862389
8,122.463,0.98478,1.57001,1.38695,0.4878,0.5,0.37933,0.15981,2.16901,5.16444,2.9147,0.00097743,0.00097743,0.00097743
9,137.15,1.06728,1.56928,1.4643,0.17103,0.5,0.21231,0.10101,1.7197,5.96771,2.31801,0.00108983,0.00108983,0.00108983
10,152.022,1.11343,1.70229,1.43752,0.19198,0.625,0.32299,0.10518,1.64419,13.779,3.30636,0.00119959,0.00119959,0.00119959
11,166.562,1.07465,1.52827,1.45574,1,0.125,0.26209,0.09484,1.8084,12.3489,3.85747,0.00130671,0.00130671,0.00130671
12,181.615,1.12407,1.58794,1.51697,0.09069,0.375,0.12051,0.03187,2.00672,6.07346,3.75505,0.00141119,0.00141119,0.00141119
13,195.516,1.14013,1.53006,1.44031,0.12778,0.5,0.18182,0.07879,1.87695,3.81104,3.05096,0.00146896,0.00146896,0.00146896
14,210.353,0.99803,1.43413,1.39105,0.92293,0.25,0.40322,0.18462,1.81906,3.1337,2.65725,0.00145246,0.00145246,0.00145246
15,225.492,1.0613,1.35239,1.42557,0.42297,0.59166,0.49516,0.20271,1.77243,3.15538,2.95864,0.00143595,0.00143595,0.00143595
16,240.012,1.09053,1.32052,1.43676,0.61125,0.625,0.41758,0.14082,1.80662,3.76174,3.022,0.00141945,0.00141945,0.00141945
17,262.563,1.02835,1.25811,1.36959,0.45485,0.5,0.53663,0.21849,1.8291,4.55252,3.68149,0.00140295,0.00140295,0.00140295
18,277.521,1.04016,1.5689,1.46805,0.31799,0.625,0.30413,0.1038,1.96068,3.4969,3.49262,0.00138644,0.00138644,0.00138644
19,297.389,1.0188,1.28851,1.34798,0.72425,0.6015,0.68651,0.18491,2.37978,2.8443,3.94392,0.00136994,0.00136994,0.00136994
20,321.616,1.04442,1.32266,1.34408,0.45762,0.25,0.32445,0.16471,2.20911,3.5106,3.32433,0.00135344,0.00135344,0.00135344
21,345.376,1.03397,1.26168,1.34817,0.31191,0.5,0.40134,0.15817,2.31675,3.83219,4.31352,0.00133693,0.00133693,0.00133693
22,371.348,1.02908,1.33147,1.4062,0.3983,0.5,0.29813,0.07345,2.73596,6.46841,4.1098,0.00132043,0.00132043,0.00132043
23,389.996,1.00121,1.51865,1.38421,0.46322,0.25,0.3205,0.20646,2.62443,5.86026,3.44196,0.00130393,0.00130393,0.00130393
24,409.322,0.90471,1.13882,1.3281,0.61559,0.5,0.54647,0.23742,2.06945,2.5917,2.89032,0.00128742,0.00128742,0.00128742
25,425.294,0.93114,1.32269,1.30164,0.5819,0.74827,0.70075,0.26693,1.97416,2.30979,3.13685,0.00127092,0.00127092,0.00127092
26,440.992,0.87786,1.14534,1.32029,0.52874,0.73866,0.82441,0.32212,2.25296,2.18032,3.64802,0.00125442,0.00125442,0.00125442
27,456.456,0.89013,1.03457,1.26592,0.86334,0.375,0.51078,0.23863,2.11148,2.21394,3.12134,0.00123791,0.00123791,0.00123791
28,471.194,0.92795,1.27037,1.35134,0.62073,0.62345,0.70114,0.32572,1.93638,2.22951,2.72886,0.00122141,0.00122141,0.00122141
29,486.04,0.87055,0.96617,1.26085,0.79327,0.73118,0.70629,0.25051,2.12162,2.18737,2.85861,0.00120491,0.00120491,0.00120491
30,501.229,0.82429,0.93432,1.22538,0.56909,0.625,0.59721,0.27721,2.13651,2.30961,2.68233,0.0011884,0.0011884,0.0011884
31,516.106,0.82431,1.04025,1.22479,0.69494,0.5,0.58556,0.32632,2.10095,2.40698,2.67137,0.0011719,0.0011719,0.0011719
32,530.946,0.84056,1.015,1.26398,0.43807,0.625,0.558,0.3116,2.00725,2.4602,2.54588,0.0011554,0.0011554,0.0011554
33,545.601,0.77072,0.84219,1.18431,0.80222,0.625,0.68704,0.34323,2.03534,1.84544,2.57485,0.00113889,0.00113889,0.00113889
34,560.28,0.78306,0.83735,1.22729,0.82558,0.74407,0.71585,0.37022,1.75899,1.68367,2.30653,0.00112239,0.00112239,0.00112239
35,574.679,0.76203,0.90286,1.24425,0.69301,0.625,0.6825,0.33758,1.81421,2.10363,2.93831,0.00110589,0.00110589,0.00110589
