epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8874,1.31214,2.85805,1.69949,0.00327,1,0.38746,0.20521,0.99015,3.36339,1.6162,0.00020004,0.00020004,0.00020004
2,69.257,1.05109,2.26253,1.5164,0.003,1,0.35429,0.15884,1.20967,3.22834,1.79209,0.000412624,0.000412624,0.000412624
3,95.0823,1.13594,1.91001,1.55109,0.66011,0.43755,0.50053,0.28281,1.94385,3.19442,2.45947,0.000620917,0.000620917,0.000620917
4,120.995,1.09791,1.73715,1.4986,0.33009,0.30682,0.23917,0.09873,2.20922,3.84083,2.76761,0.00082492,0.00082492,0.00082492
5,145.298,1.05291,1.68081,1.48001,0.35132,0.55682,0.34956,0.17933,1.70395,3.57146,2.44566,0.00102463,0.00102463,0.00102463
6,169.578,1.1357,1.53878,1.47913,0.11639,0.375,0.25959,0.09994,2.20903,8.66768,3.47659,0.00122005,0.00122005,0.00122005
7,194.344,1.16449,1.57044,1.50967,0.26665,0.72727,0.34655,0.15666,1.97545,4.81203,2.78019,0.00141118,0.00141118,0.00141118
8,218.657,1.11737,1.49743,1.49586,0.50389,0.39773,0.3121,0.11358,1.86783,3.15944,2.46731,0.00155148,0.00155148,0.00155148
9,243.692,1.08343,1.43097,1.46707,0.98152,0.13636,0.17928,0.12316,2.19637,3.51503,2.92228,0.00153497,0.00153497,0.00153497
10,267.36,1.18077,1.44932,1.52046,0.46379,0.875,0.61529,0.26179,1.94019,3.24738,2.87104,0.00151847,0.00151847,0.00151847
11,291.021,1.14149,1.46735,1.49895,0.66502,0.39773,0.48306,0.20887,2.0492,4.17972,3.1739,0.00150197,0.00150197,0.00150197
12,314.953,1.1105,1.31254,1.46368,0.68596,0.30682,0.38063,0.15159,2.54593,2.9548,3.91362,0.00148546,0.00148546,0.00148546
13,338.691,1.08463,1.35299,1.51069,0.83561,0.62169,0.75924,0.34176,1.88145,1.94368,2.64224,0.00146896,0.00146896,0.00146896
14,363.042,1.07121,1.22749,1.46826,0.62727,0.68564,0.68207,0.303,1.78764,2.48615,2.44106,0.00145246,0.00145246,0.00145246
15,388.174,1.03355,1.15715,1.43116,0.80424,0.96673,0.95935,0.44496,1.64621,1.94757,2.97875,0.00143595,0.00143595,0.00143595
16,412.038,1.06298,1.21941,1.46147,0.6332,0.71492,0.72859,0.312,1.93749,2.1036,2.48742,0.00141945,0.00141945,0.00141945
17,436.983,1.07087,1.27867,1.44394,0.61116,0.78409,0.83744,0.37302,1.66741,1.62688,2.37981,0.00140295,0.00140295,0.00140295
18,463.167,1.03963,1.24318,1.44576,0.48987,0.90909,0.80261,0.36958,1.79149,2.07033,3.10936,0.00138644,0.00138644,0.00138644
19,487.948,0.97777,1.16005,1.38371,0.62013,0.48332,0.48636,0.21227,2.25366,3.02539,3.72583,0.00136994,0.00136994,0.00136994
20,515.677,1.01673,1.18177,1.40179,0.34831,0.61364,0.56231,0.23842,2.07213,2.78664,3.1863,0.00135344,0.00135344,0.00135344
21,539.797,0.97807,1.0902,1.37594,0.59753,0.61364,0.57941,0.25218,1.91735,1.98394,2.83799,0.00133693,0.00133693,0.00133693
22,564.382,0.95479,1.04662,1.35037,0.54316,0.65333,0.49225,0.26023,1.81209,1.82403,2.6277,0.00132043,0.00132043,0.00132043
23,588.626,0.94992,0.99589,1.32032,0.67412,0.53409,0.62519,0.26246,1.72818,1.68156,2.48358,0.00130393,0.00130393,0.00130393
24,612.515,0.87319,0.96205,1.31725,0.70119,0.83697,0.83393,0.35774,1.94474,1.4888,2.63685,0.00128742,0.00128742,0.00128742
25,637.136,0.89724,0.90279,1.3058,0.92007,0.69318,0.90834,0.38133,1.69784,1.44462,2.3665,0.00127092,0.00127092,0.00127092
26,661.182,0.92491,0.91878,1.32744,0.64924,0.77771,0.67584,0.34055,1.76593,1.73991,2.21773,0.00125442,0.00125442,0.00125442
27,685.433,1.0096,0.92975,1.41503,0.87299,0.73053,0.80018,0.40806,1.69911,1.49302,2.11612,0.00123791,0.00123791,0.00123791
28,713.078,0.8688,0.9037,1.33713,0.95155,0.95455,0.983,0.53397,1.613,1.06653,2.34737,0.00122141,0.00122141,0.00122141
29,739.831,0.91237,0.9598,1.32258,0.76209,1,0.94221,0.50079,1.7403,1.11002,2.3494,0.00120491,0.00120491,0.00120491
30,763.832,0.85432,0.81879,1.27068,0.87215,0.75,0.83988,0.38234,1.99471,1.39988,2.665,0.0011884,0.0011884,0.0011884
31,787.36,0.86559,0.89057,1.29897,0.88441,0.82955,0.80069,0.38026,1.86803,1.45253,2.56463,0.0011719,0.0011719,0.0011719
32,811.662,0.91742,0.89267,1.32261,0.77711,0.691,0.73154,0.44874,1.68384,1.3903,2.44401,0.0011554,0.0011554,0.0011554
33,837.67,0.87658,0.87699,1.3202,0.74482,0.6817,0.73768,0.47903,1.71784,1.70288,2.23785,0.00113889,0.00113889,0.00113889
34,862.718,0.81957,0.79063,1.27145,0.8361,0.69318,0.77026,0.39957,1.86304,1.44214,2.24956,0.00112239,0.00112239,0.00112239
35,886.883,0.79384,0.82436,1.23972,0.82459,0.53005,0.63408,0.34774,2.12522,2.05942,2.54213,0.00110589,0.00110589,0.00110589
36,911.716,0.7726,0.7874,1.21858,0.45184,0.51136,0.52842,0.33142,1.72106,2.31391,2.21727,0.00108938,0.00108938,0.00108938
37,935.882,0.80288,0.74004,1.26077,0.78418,0.69318,0.73865,0.43275,1.59994,1.43685,2.04862,0.00107288,0.00107288,0.00107288
38,960.206,0.77377,0.73211,1.25107,0.86667,0.76022,0.81581,0.51434,1.40798,1.35259,1.94748,0.00105638,0.00105638,0.00105638
39,983.957,0.6944,0.70154,1.19602,0.84659,0.875,0.86462,0.41839,1.59403,1.03854,2.40528,0.00103987,0.00103987,0.00103987
40,1007.98,0.75683,0.73056,1.21946,0.70953,0.73864,0.75067,0.39919,1.50453,1.36587,2.06505,0.00102337,0.00102337,0.00102337
41,1032.6,0.75034,0.71393,1.22978,0.81674,0.82955,0.87148,0.55113,1.45819,1.15968,2.08533,0.00100687,0.00100687,0.00100687
42,1056.21,0.74337,0.66543,1.18789,0.73566,0.82955,0.85334,0.45534,1.59979,1.06984,2.25833,0.000990365,0.000990365,0.000990365
43,1080.52,0.76827,0.71939,1.21757,0.77933,0.77284,0.88272,0.50273,1.39997,1.00483,1.95172,0.000973861,0.000973861,0.000973861
44,1104.85,0.71789,0.66572,1.18976,0.73912,0.77432,0.84898,0.47983,1.39195,1.26006,1.94187,0.000957358,0.000957358,0.000957358
45,1128.64,0.67439,0.63963,1.18171,0.88004,0.82856,0.8497,0.49814,1.49013,1.10896,1.98644,0.000940855,0.000940855,0.000940855
46,1152.85,0.71177,0.71886,1.1713,0.74236,0.82003,0.7706,0.43969,1.53853,1.38035,2.0403,0.000924352,0.000924352,0.000924352
47,1176.98,0.71072,0.68262,1.18272,0.92045,0.82955,0.82406,0.49498,1.33897,1.12455,1.75462,0.000907848,0.000907848,0.000907848
48,1201.02,0.65196,0.6197,1.17027,0.93827,0.83398,0.89556,0.51993,1.44178,0.96257,2.0592,0.000891345,0.000891345,0.000891345
49,1225.77,0.71157,0.6347,1.19056,0.88873,0.83061,0.9025,0.56364,1.38321,0.95871,1.84886,0.000874842,0.000874842,0.000874842
50,1249.62,0.70534,0.60341,1.16498,0.6488,0.96755,0.87234,0.48049,1.61673,1.24137,2.08173,0.000858338,0.000858338,0.000858338
51,1273.82,0.69261,0.6191,1.14497,0.81802,0.82955,0.8967,0.52153,1.43238,0.98775,2.04679,0.000841835,0.000841835,0.000841835
52,1299.02,0.68629,0.60408,1.18025,0.90934,0.82955,0.89769,0.49117,1.39553,1.08387,2.06611,0.000825332,0.000825332,0.000825332
53,1323.12,0.70445,0.62888,1.1789,0.91202,0.78409,0.81827,0.4078,1.41669,1.21279,2.12438,0.000808828,0.000808828,0.000808828
54,1351.73,0.63294,0.55275,1.1336,0.84356,0.73864,0.89326,0.4865,1.50866,0.95404,2.29524,0.000792325,0.000792325,0.000792325
55,1375.5,0.65397,0.60118,1.16143,0.94831,0.71435,0.91979,0.49909,1.52486,0.8809,2.26179,0.000775822,0.000775822,0.000775822
56,1399.74,0.61474,0.5659,1.11624,0.96552,0.82955,0.9117,0.55234,1.40981,0.82271,2.02492,0.000759318,0.000759318,0.000759318
57,1424.24,0.63144,0.53987,1.09759,0.96392,0.82955,0.86827,0.48509,1.53557,0.93951,2.09835,0.000742815,0.000742815,0.000742815
58,1448.08,0.62135,0.52749,1.11809,0.9224,0.82955,0.90396,0.48878,1.50676,1.04344,2.11891,0.000726312,0.000726312,0.000726312
59,1472.53,0.62516,0.57405,1.12264,0.90304,0.78409,0.91312,0.49446,1.44033,1.19281,2.10827,0.000709809,0.000709809,0.000709809
60,1496.95,0.63239,0.64633,1.14551,0.80258,0.77852,0.83777,0.51556,1.40341,1.21817,1.95927,0.000693305,0.000693305,0.000693305
61,1521,0.58778,0.5247,1.10871,0.82927,0.73864,0.8071,0.52301,1.307,1.19401,1.80097,0.000676802,0.000676802,0.000676802
62,1545.44,0.63144,0.53418,1.12941,0.92105,0.73864,0.8005,0.44813,1.38208,1.1282,1.83594,0.000660299,0.000660299,0.000660299
63,1570.49,0.57273,0.51497,1.09155,0.87636,0.7823,0.76178,0.40404,1.52407,1.40013,1.95241,0.000643795,0.000643795,0.000643795
64,1594.67,0.62507,0.49601,1.12129,0.94661,0.84395,0.92125,0.54031,1.3786,0.94086,1.91373,0.000627292,0.000627292,0.000627292
